지역,연도,조혼인율,혼인건수,평균초혼연령,사교육비,경력단절여성비율,주택매매가격지수,주택전세가격지수,청년순이동률
세종,2019,6.2,2039.0,30.8,34.1,24.637681159420293,,,10.1
울산,2019,4.7,5442.0,30.25,27.4,22.274881516587676,,,-1.9
인천,2019,4.6,13401.0,30.59,31.3,18.846153846153847,,,0.0
전국,2019,4.7,239159.0,30.59,32.1,19.210764360018093,,,0.0
전남,2019,4.0,7413.0,30.07,18.1,18.63799283154122,,,-2.3
전북,2019,3.9,7005.0,30.34,23.9,13.636363636363635,,,-2.8
제주,2019,5.1,3358.0,30.99,25.8,11.304347826086957,,,0.2
충남,2019,4.7,9826.0,29.91,23.7,18.904109589041095,,,-0.8
충북,2019,4.6,7239.0,29.98,24.3,17.358490566037734,,,-0.6
강원,2020,3.8,5868.0,30.39,22.6,16.30901287553648,,,-1.0
경기,2020,4.4,57814.0,30.83,31.6,18.629908103592314,,,2.2
경남,2020,3.6,11900.0,30.52,24.1,16.577540106951872,,,-2.4
경북,2020,3.4,9046.0,30.38,20.7,17.067307692307693,,,-3.3
광주,2020,3.8,5560.0,30.68,29.9,18.992248062015506,,,-0.8
국외,2020,,3385.0,28.07,,,,,
대구,2020,3.5,8340.0,30.67,29.0,22.22222222222222,,,-1.3
대전,2020,4.1,5976.0,30.61,30.2,15.873015873015872,,,-0.7
부산,2020,3.6,12128.0,31.08,28.3,17.892644135188867,,,-0.7
서울,2020,4.7,44746.0,31.6,45.3,15.430861723446892,,,0.6
세종,2020,5.3,1854.0,30.78,30.7,21.12676056338028,,,5.3
울산,2020,4.2,4737.0,30.33,25.4,20.975609756097562,,,-2.4
인천,2020,4.0,11574.0,30.7,30.1,17.554240631163708,,,-0.8
전국,2020,4.2,213502.0,30.78,30.2,17.556539986010726,,,0.0
전남,2020,3.4,6365.0,30.24,19.1,16.60377358490566,,,-3.1
전북,2020,3.4,6053.0,30.49,22.6,14.963503649635038,,,-2.4
제주,2020,4.5,2981.0,30.92,27.3,12.389380530973451,,,0.2
충남,2020,4.0,8493.0,29.95,19.5,17.582417582417584,,,-1.0
충북,2020,4.2,6682.0,30.15,22.5,18.39080459770115,,,-0.7
강원,2021,3.7,5622.0,30.55,26.6,15.625,98.05714285714285,99.5,-0.9
경기,2021,4.1,54658.0,31.07,39.3,19.230769230769234,109.34285714285714,110.84285714285714,2.0
경남,2021,3.2,10531.0,30.89,27.6,15.625,105.94285714285715,104.41428571428571,-2.4
경북,2021,3.1,8163.0,30.68,27.9,17.45635910224439,101.2,102.67142857142858,-1.4
광주,2021,3.4,4901.0,31.04,32.0,18.218623481781375,106.75714285714285,106.82857142857142,-0.6
국외,2021,,3163.0,29.63,,,,,
대구,2021,3.1,7287.0,31.03,40.0,19.84536082474227,123.24285714285715,128.84285714285713,-1.9
대전,2021,3.7,5419.0,30.63,36.4,16.260162601626014,111.27142857142857,112.37142857142858,-0.2
부산,2021,3.3,11081.0,31.3,36.9,16.049382716049383,113.12857142857142,112.45714285714287,-0.8
서울,2021,3.9,37012.0,31.91,52.9,16.713286713286713,101.34285714285714,107.8,-0.1
세종,2021,4.5,1627.0,31.1,36.9,22.22222222222222,132.55714285714285,131.94285714285715,6.0
울산,2021,3.6,4077.0,30.59,30.0,18.781725888324875,109.12857142857142,110.02857142857144,-2.4
인천,2021,3.7,10881.0,30.95,34.4,15.400410677618071,110.61428571428571,111.84285714285714,0.6
전국,2021,3.8,192507.0,31.08,36.7,17.39757299050823,106.67142857142858,108.62857142857142,0.0
전남,2021,3.4,6201.0,30.42,23.3,15.139442231075698,102.48571428571428,103.48571428571428,-2.7
전북,2021,3.0,5325.0,30.62,27.4,12.878787878787879,100.24285714285715,101.41428571428571,-2.0
제주,2021,4.0,2661.0,31.08,29.6,12.727272727272727,102.82857142857142,102.52857142857144,0.0
충남,2021,3.8,8016.0,30.18,26.0,18.64406779661017,103.25714285714285,105.25714285714285,-0.4
충북,2021,3.7,5882.0,30.36,28.4,17.898832684824903,100.5,100.55714285714285,-0.6
강원,2022,3.6,5572.0,30.83,29.6,15.068493150684931,100.44166666666666,100.79166666666667,-0.4
경기,2022,4.0,54178.0,31.33,44.6,18.26012058570198,111.075,111.22500000000001,0.7
경남,2022,3.2,10504.0,30.94,31.1,17.992424242424242,108.325,106.74166666666666,-2.7
경북,2022,3.1,8180.0,30.8,29.4,15.567282321899736,102.80833333333334,104.20833333333333,-2.2
광주,2022,3.4,4902.0,31.1,35.6,18.218623481781375,109.59166666666665,108.26666666666667,-1.1
국외,2022,,3804.0,28.74,,,,,
대구,2022,3.2,7497.0,31.22,43.7,18.852459016393443,119.60000000000001,124.14166666666667,-1.2
대전,2022,3.9,5662.0,30.89,38.9,19.665271966527197,111.26666666666667,111.06666666666666,0.1
부산,2022,3.2,10618.0,31.67,39.5,16.842105263157894,114.64166666666667,113.14166666666667,-0.7
서울,2022,3.8,35752.0,32.15,59.6,16.08187134502924,102.14999999999999,107.875,1.1
세종,2022,4.4,1664.0,31.41,41.8,24.0,123.16666666666667,120.64999999999999,4.3
울산,2022,3.6,4013.0,30.79,36.7,20.0,109.89999999999999,112.2,-1.9
인천,2022,3.7,10849.0,31.29,38.6,16.804979253112034,112.22500000000001,111.22500000000001,1.4
전국,2022,3.7,191690.0,31.26,41.0,17.24052819943231,108.00833333333333,109.10000000000001,0.0
전남,2022,3.4,6181.0,30.81,26.1,14.285714285714285,103.625,103.925,-1.9
전북,2022,3.0,5394.0,30.88,29.6,12.213740458015266,103.20833333333333,103.26666666666667,-2.1
제주,2022,4.0,2718.0,31.76,31.4,10.0,105.00833333333333,104.52499999999999,-0.1
충남,2022,3.8,8017.0,30.57,29.2,19.825072886297377,105.18333333333334,106.56666666666666,0.2
충북,2022,3.9,6185.0,30.56,31.8,17.786561264822133,103.09166666666665,103.20833333333333,-0.1
강원,2023,3.6,5494.0,31.08,32.4,14.746543778801843,99.00833333333333,98.91666666666667,-1.1
경기,2023,4.0,54221.0,31.59,46.9,19.399739016963895,99.43333333333334,95.96666666666665,0.6
경남,2023,3.1,10232.0,31.26,32.4,16.380952380952383,101.91666666666667,101.08333333333333,-2.2
경북,2023,3.2,8128.0,31.06,31.5,16.577540106951872,100.25833333333333,101.2,-1.9
광주,2023,3.6,5169.0,31.26,39.6,14.893617021276595,102.05,100.3,-1.7
국외,2023,,4094.0,28.38,,,,,
대구,2023,3.4,8150.0,31.43,45.9,18.852459016393443,106.19166666666666,105.875,-1.1
대전,2023,3.6,5212.0,31.19,41.0,17.857142857142858,101.21666666666665,99.64999999999999,0.1
부산,2023,3.1,10303.0,31.95,43.4,18.340611353711793,104.325,101.30833333333334,-0.8
서울,2023,3.9,36324.0,32.42,62.8,13.60544217687075,95.81666666666666,95.88333333333333,1.0
세종,2023,4.4,1705.0,31.76,46.5,20.77922077922078,105.69166666666666,101.625,1.4
